<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;15/04/20;140000;1085.2900000;1085.3700000;1077.2300000;1080.2000000;84380430
RTSI;60;15/04/20;150000;1080.1700000;1082.1900000;1069.8300000;1072.3800000;100982634
RTSI;60;15/04/20;160000;1072.3700000;1072.3800000;1055.0300000;1055.6100000;148097490
RTSI;60;15/04/20;170000;1055.5500000;1065.9100000;1053.2400000;1063.1900000;158984502
RTSI;60;15/04/20;180000;1063.1300000;1063.1300000;1046.1500000;1051.1100000;149940710
RTSI;60;15/04/20;190000;1051.1300000;1051.7700000;1045.1300000;1046.8800000;161737076
RTSI;60;16/04/20;110000;1057.1300000;1065.0900000;1036.9500000;1063.8200000;318515525
RTSI;60;16/04/20;120000;1063.7500000;1078.5400000;1061.0600000;1073.1700000;255455029
RTSI;60;16/04/20;130000;1073.1000000;1075.9300000;1065.9900000;1075.0600000;109499887
RTSI;60;16/04/20;140000;1075.1600000;1084.4200000;1073.0800000;1079.4200000;114430623
